AFS.py,AFS.R,wv,AFS_rpy.py
0.677350858,0.677030053,4991.300676,0.677030053
0.705106426,0.704751924,4991.311719,0.704751924
0.732806926,0.732417089,4991.322761,0.732417089
0.788083791,0.787641471,4991.333803,0.787641471
0.833947162,0.833454626,4991.344844,0.833454626
0.849601647,0.849074874,4991.355885,0.849074874
0.889718221,0.889140346,4991.366925,0.889140346
0.903542304,0.902928754,4991.377965,0.902928754
0.933268095,0.932606728,4991.389004,0.932606728
0.933347908,0.932658792,4991.400042,0.932658792
0.953623623,0.952891183,4991.41108,0.952891183
0.96051885,0.959752495,4991.422117,0.959752495
0.964789769,0.963991205,4991.433153,0.963991205
0.96734533,0.966515712,4991.444189,0.966515712
0.969551476,0.968690905,4991.455224,0.968690905
0.984854844,0.983951112,4991.466259,0.983951112
0.969710542,0.968791527,4991.477293,0.968791527
0.97467704,0.973723935,4991.488326,0.973723935
0.991628908,0.990629275,4991.499359,0.990629275
1.004241667,1.003198932,4991.510391,1.003198932
0.976812427,0.975808502,4991.521422,0.975808502
0.989185294,0.988178939,4991.532453,0.988178939
1.00090876,0.999900713,4991.543484,0.999900713
0.989653325,0.988666573,4991.554513,0.988666573
0.991460816,0.990482071,4991.565543,0.990482071
0.985306953,0.98434387,4991.576571,0.98434387
0.987634255,0.986678339,4991.587599,0.986678339
0.991884784,0.990934068,4991.598626,0.990934068
0.99145546,0.990514303,4991.609653,0.990514303
0.976813874,0.975832756,4991.620679,0.975832756
0.977307914,0.976272438,4991.631704,0.976272438
0.972722186,0.971637979,4991.642729,0.971637979
0.978914779,0.977769765,4991.653753,0.977769765
0.976007874,0.974812536,4991.664777,0.974812536
0.964740878,0.96350626,4991.6758,0.96350626
0.971961278,0.970663971,4991.686822,0.970663971
0.981680979,0.980316737,4991.697844,0.980316737
0.968348671,0.966949754,4991.708865,0.966949754
0.982406174,0.980932995,4991.719886,0.980932995
0.946643513,0.945172001,4991.730906,0.945172001
0.957468485,0.955927617,4991.741925,0.955927617
0.95383638,0.95224905,4991.752944,0.95224905
0.929525459,0.927927638,4991.763962,0.927927638
0.929612978,0.927964078,4991.77498,0.927964078
0.899818077,0.898172755,4991.785997,0.898172755
0.860587441,0.858966757,4991.797013,0.858966757
0.818310356,0.816724527,4991.808029,0.816724527
0.764323162,0.762800171,4991.819044,0.762800171
0.692828492,0.691410106,4991.830058,0.691410106
0.608176176,0.60689788,4991.841072,0.60689788
0.518413351,0.517295427,4991.852085,0.517295427
0.423527363,0.422590949,4991.863098,0.422590949
0.343773471,0.342994648,4991.87411,0.342994648
0.289253061,0.288581993,4991.885122,0.288581993
0.252037618,0.251439164,4991.896132,0.251439164
0.222484054,0.221943664,4991.907143,0.221943664
0.222675012,0.222122045,4991.918152,0.222122045
0.246501051,0.245875515,4991.929161,0.245875515
0.300666116,0.29988679,4991.94017,0.29988679
0.350954163,0.350025434,4991.951177,0.350025434
0.448251995,0.447041457,4991.962185,0.447041457
0.512670577,0.511258267,4991.973191,0.511258267
0.57650521,0.574885799,4991.984197,0.574885799
0.647535595,0.64568158,4991.995202,0.64568158
0.667168404,0.665222057,4992.006207,0.665222057
0.687234008,0.685191941,4992.017211,0.685191941
0.675628681,0.673584565,4992.028215,0.673584565
0.645602216,0.643614058,4992.039218,0.643614058
